Year,Month,Time Period,Survey Sequence,Zone,Atlantic Brant,Canada Goose,Snow Goose,Greater White-fronted Goose,American Black Duck,Mallard,Northern Pintail,American Green-winged Teal,Blue-winged Teal,Gadwall,American Wigeon,Northern Shoveler,Wood Duck,Canvasback,Redhead,Scaup,Ring-necked Duck,Common Merganser,Red-breasted Merganser,Hooded Merganser,Mergansers,Ruddy Duck,White-winged Scoter,Surf Scoter,Black Scoter,Scoters,Bufflehead,Common Goldeneye,Long-tailed Duck,Mute Swan,Tundra Swan,American Coot
2019,November,,219,1,0,2041,0,0,0,26,0,0,0,0,0,480,0,0,0,200,0,18,0,0,0,0,0,0,0,0,30,0,0,0,0,0
2019,November,,219,2,0,1381,0,0,42,32,0,0,0,162,0,0,0,0,0,30,0,0,0,0,0,4,0,0,0,0,0,0,0,7,26,25
2019,November,,219,3,0,7678,0,0,165,527,0,200,0,50,0,125,0,0,0,30,0,2,0,0,0,65,0,0,0,0,60,0,0,0,57,0
2019,November,,219,4,0,6332,0,0,228,613,0,0,0,20,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,12,0,0,0,0,0
2019,November,,219,5,0,5439,20000,0,329,1031,2,1313,0,200,0,183,0,0,0,0,0,0,0,2,0,250,0,0,0,0,0,0,0,2,163,300
2019,November,,219,6,0,1070,15000,0,173,256,0,84,0,85,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,32,0
2019,November,,219,7,0,1671,10000,1,1111,712,35,1671,0,689,0,30,0,0,0,214,0,0,0,66,0,10,0,103,42,0,3,0,0,0,175,0
2019,November,,219,8,0,1709,18250,0,168,45,0,82,7,0,0,26,0,2,0,0,0,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0
2019,November,,219,9,593,22,0,0,78,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,0,26,0,0,882,0,9,0,0,0
2019,November,,219,10,425,48,0,0,34,21,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,554,0,0,0,0,658,0,4,0,171,0
2019,November,,219,11,0,910,0,0,277,256,0,0,0,107,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,4,0,0
2019,December,,220,1,0,5265,0,0,396,331,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,December,,220,2,0,1181,0,0,205,94,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,30,0,0,0,0,22,0,0,17,0,0
2019,December,,220,3,0,3536,0,0,490,635,0,0,0,0,0,2,0,0,0,0,215,0,0,0,0,0,0,0,0,0,72,0,0,2,30,0
2019,December,,220,4,0,2899,0,0,721,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
2019,December,,220,5,0,8388,53003,0,251,2168,4,1422,0,54,0,22,0,0,0,0,0,2,0,10,0,0,0,0,0,0,7,0,0,0,144,0
2019,December,,220,6,0,1963,55000,0,346,481,0,1701,0,229,53,38,0,0,0,0,0,0,0,0,0,95,0,0,0,0,11,0,0,0,33,218
2019,December,,220,7,0,5804,47200,0,1977,1399,40,1103,0,1103,0,123,0,0,0,200,0,0,0,12,0,0,0,0,13,0,4,0,0,0,185,0
2019,December,,220,8,25,786,9522,0,360,39,0,6,0,0,0,50,0,151,0,0,0,0,0,12,0,0,0,0,0,0,69,0,0,0,0,0
2019,December,,220,9,0,277,0,0,216,31,0,40,0,0,2,0,0,0,0,0,0,0,0,52,0,0,0,0,2,0,1016,0,1,0,0,0
2019,December,,220,10,200,455,0,0,95,51,0,10,0,34,0,0,0,0,0,0,0,0,0,8,0,1500,0,0,0,0,476,0,6,0,8,0
2019,December,,220,11,0,834,0,0,153,53,10,0,0,405,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,4,2143,0
2020,January,,221,1,0,3579,0,0,14,53,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,538,0,0,0,0,0
2020,January,,221,2,0,1515,0,0,18,2,0,0,0,0,0,20,0,0,0,0,200,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0
2020,January,,221,3,0,4810,0,0,268,214,0,0,0,0,0,80,0,0,0,0,325,273,0,3,0,50,0,0,0,0,15,10,0,4,27,0
2020,January,,221,4,0,7658,1500,0,138,307,0,20,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020,January,,221,5,0,3483,6001,0,351,3145,12,32,0,2,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,10,265,0
2020,January,,221,6,0,1965,10000,0,429,802,0,14,0,342,0,158,0,0,0,0,0,0,0,11,0,150,0,0,0,0,0,0,0,0,0,75
2020,January,,221,7,0,2238,43002,0,1462,1985,402,82,0,202,2,414,0,0,0,60,0,25,0,24,0,0,0,0,18,0,30,0,19,0,98,0
2020,January,,221,8,0,318,250,0,185,1,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,3,0,0
2020,January,,221,9,170,140,0,0,108,26,0,3,0,0,0,0,0,342,0,0,0,0,0,73,0,170,3,0,4,0,593,10,3,0,0,0
2020,January,,221,10,175,818,0,0,7,51,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1445,0,0,0,0,554,0,15,0,4036,0
2020,January,,221,11,0,1094,0,0,378,100,400,0,0,740,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,336,0,0,5,299,0
1974,October,,1,1,0,125,0,0,446,42,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,3154,0,0,0,0,5,0,0,0,0,0
1974,October,,1,2,0,75,0,0,119,1250,0,0,0,0,0,0,25,25,0,5,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0
1974,October,,1,3,0,12471,0,0,1512,5046,8550,4025,0,400,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,October,,1,4,0,4709,0,0,512,1502,7,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1974,October,,1,5,0,25762,1801,0,2708,1190,5,1094,35,0,0,25,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,October,,1,6,0,16367,0,0,1822,1252,85,2300,0,200,150,0,0,15,0,434,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0
1974,October,,1,7,0,15424,30,0,382,275,20,60,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,October,,1,8,0,6135,0,0,219,95,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,October,,1,9,250,4125,350,0,147,17,0,25,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,107,0,0,0,0,0,0
1974,October,,1,10,33,50,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
