Stop name,Lift,Total parking,Blue Badge Bays,Cycling stands,Cycle lockers,Car park height restriction?
Altrincham,,,,8 stands,,?
Navigation Road,,81�spaces,6�spaces,5 stands,5 lockers,?
Timperley,Yes,,,5 stands,3 lockers,?
Brooklands,Yes,108 spaces,,3 stands,2 lockers,?
Sale,Yes,25 spaces,2 spaces,,2 lockers,?
Dane Road,Yes,,,5 stands,3 lockers,?
Stretford,,33 spaces,2 spaces,5 stands,3 lockers,?
Old Trafford,,,,,5 lockers,?
Trafford Bar,,,,,,?
Cornbrook,Yes,,,,,?
Stop name,Lift,Total parking,Blue Badge Bays,Cycling stands,Cycle lockers,Car park height restriction?
Bury,Yes,100 spaces,4 spaces,8 stands,5 lockers,?
Radcliffe,,369�spaces,22�spaces,5�stands,5 lockers,2.3m?
Whitefield,,216�spaces,13�spaces,4 stands,5 lockers,2.3m?
Besses o' th' Barn,Yes,9 spaces,2 spaces,1 stands,4 lockers,?
Prestwich,,36 spaces,2 spaces,4 stands,4 lockers,?
Heaton Park,Yes,12 spaces,2 spaces,2 stands,4 lockers,?
Bowker Vale,,,,,,?
Crumpsall,,43 spaces,3 spaces,4 stands,6 lockers,?
Abraham Moss,,2 spaces,2 spaces,,,?
Queens�Road,Yes�,,,5 stands�,,?
Stop name,Lift,Total parking,Blue Badge Bays,Cycling stands,Cycle lockers,Car park height restriction?
Eccles,,,,,,?
Ladywell,,250 spaces,22 spaces,9 stands,,?
Weaste,,,,,,?
Langworthy,,,,,,?
Broadway,,,,10 stands,,?
MediaCityUK,,,,,,?
Harbour City,,,,,,?
Anchorage,,,,,,?
Salford Quays,,,,,,?
Exchange Quay,,,,,,?
Pomona,Yes,,,,,?
Stop name,Lift,Total parking,Blue Badge Bays,Cycling stands,Cycle lockers,Car park height restriction?
Firswood,Yes,,,5 stands,,?
Chorlton,Yes,,,6 stands,,?
St Werburgh's Road,Yes,,,10 stands,5 lockers,?
Withington?,Yes?,?,?,?6 stands,5 lockers?,?
Burton Road?,Yes?,?,?,4 stands?,5 lockers?,?
West Didsbury?,Yes,?,?,5 stands?,5 lockers?,?
Didsbury Village?,,?,?,5 stands?,5 lockers?,?
East Didsbury?,Yes?,302?,18?,10 stands?,5 lockers?,2.4m?
Stop name,Lift,Total parking,Blue Badge Bays,Cycling stands,Cycle lockers,Car park height restriction?
Deansgate-Castlefield,Yes,,,,,?
St Peter's Square,,,,,,?
Piccadilly Gardens,,,,,,?
Piccadilly,Yes,,,,,?
Market Street,,,,,,?
Shudehill,,,,5 stands,,?
Victoria,,,,,,?
Stop name,Lift,Total parking,Blue Badge Bays,Cycling stands,Cycle lockers,Car park height restriction?
Rochdale Town Centre?,?,?,?,5? stands?,?,2.4m?
Rochdale Railway Station?,?,217? spaces,13? spaces,5? stands,,?
Newbold?,?,?,?,5 stands?,5? lockers,?
Kingsway Business Park?,?,?,?,?5 stands,,?
Milnrow?,?,19? spaces,3? spaces,5? stands,5�lockers,?
Newhey?,?,?,?,?5 stands,5? lockers,?
Shaw and Crompton?,,44 spaces,�4 spaces,�5 stands,5 lockers�,?
Derker,Yes�,251�spaces�,�16 spaces,�5 stands,5 lockers�,2.4m?
