date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,6.7,5,9,14.3,,200,18.3,38.9,994,
2024-01-02,8.5,7,10,20.5,,197,10.9,27.8,981.9,
2024-01-03,7.1,6,8,3,,217,8.3,20.4,988.2,
2024-01-04,5.5,2,8,0.5,,171,6.7,22.2,998.4,
2024-01-05,4.9,2,7,0,,293,5.6,14.8,1003.5,
2024-01-06,2.1,-2,6,0,,301,4.8,11.1,1018.2,
2024-01-07,2.4,-1,5,0,,11,4.5,13,1030,
2024-01-08,2.1,1,3,0,,58,11.6,24.1,1035,
2024-01-09,2.6,2,4,0,,52,17.3,38.9,1034.9,
2024-01-10,4.3,2,6,0,,44,15.1,24.1,1033.5,
2024-01-11,5.2,4,6,0,,40,13.4,18.5,1039.2,
2024-01-12,3.9,2,5,0,,350,9.6,14.8,1036.9,
2024-01-13,4.6,3,7,0.3,,256,6.7,16.7,1024.1,
2024-01-14,3,0,5,0.3,,295,7.2,18.5,1013.1,
2024-01-15,-0.8,-4,2,0,,300,8.9,25.9,1011.4,
2024-01-16,0.7,-3,4,1.2,,187,10.3,29.6,1003.8,
2024-01-17,-0.6,-6,2,0.2,,18,5.4,20.4,994.6,
2024-01-18,-3.7,-8,2,0,,190,4.4,13,1008,
2024-01-19,1.1,-2,5,0,,195,11.7,31.5,1018.5,
2024-01-20,4.5,3,6,2.8,,179,14,50,1015,
2024-01-21,9.2,5,12,6.9,,193,21.1,72.2,998.2,
2024-01-22,8.2,7,12,2.8,,240,32.1,63,1002.3,
2024-01-23,8.9,4,14,5,,202,21.9,59.3,1010,
2024-01-24,8.7,4,11,0,,244,30.6,59.3,1019.6,
2024-01-25,9.1,4,12,7,,178,12,40.8,1018.9,
2024-01-26,7.3,4,12,2.6,,232,23.5,51.8,1023.6,
2024-01-27,6.3,5,8,0,,177,10.3,33.3,1028.1,
2024-01-28,8.2,6,11,0,,176,11.2,42.6,1017.7,
2024-01-29,10.2,8,12,4.8,,158,7.1,31.5,1017.8,
2024-01-30,5.5,1,11,1.3,,258,14,27.8,1026.6,
2024-01-31,5,1,10,3.9,,206,14.6,48.2,1025.1,
2024-02-01,4.4,2,7,0,,211,10,24.1,1030.8,
2024-02-02,9.2,5,13,0.3,,211,13.7,35.2,1025.6,
2024-02-03,9.8,8,11,3.2,,255,18.9,35.2,1024.1,
2024-02-04,10.4,8,13,2,,244,24,46.3,1019.9,
2024-02-05,10,8,11,0.8,,226,18.5,38.9,1013.9,
2024-02-06,8.6,4,12,9.8,,263,21.9,44.5,1004.3,
2024-02-07,3.1,0,6,0,,145,4.7,14.8,1005.7,
2024-02-08,2.6,1,4,14.4,,87,16.1,55.5,990.1,
2024-02-09,7.1,4,10,4.4,,110,10,40.8,974.6,
2024-02-10,6.5,3,10,0,,130,5.1,18.5,982.2,
2024-02-11,5.3,3,8,0.8,,248,9.9,25.9,990.5,
2024-02-12,5.2,2,9,0.1,,208,14.7,33.3,1002.2,
2024-02-13,6.8,4,8,6.8,,178,8.6,25.9,1007.2,
2024-02-14,11.4,9,14,6.3,,190,10.2,35.2,1007.3,
2024-02-15,13,11,15,8.4,,192,10.3,33.3,1004.6,
2024-02-16,9.8,9,11,4.9,,229,9.5,22.2,1014,
2024-02-17,11,8,14,15.1,,171,9.8,38.9,1023.8,
2024-02-18,10.9,10,12,6.1,,257,13.5,29.6,1024.2,
2024-02-19,8.9,8,11,0.7,,240,15.1,37,1027.7,
2024-02-20,8.8,6,12,0.5,,196,12.3,40.8,1020.9,
2024-02-21,9.5,7,13,6.7,,192,14.8,48.2,999.7,
2024-02-22,6,2,9,15.8,,221,13.4,33.3,981.5,
2024-02-23,4.2,1,8,1.7,,197,9.5,27.8,983.5,
2024-02-24,3.3,0,8,0.6,,173,5.1,16.7,993.7,
2024-02-25,3.7,-2,8,0,,81,11.9,31.5,997.6,
2024-02-26,5.2,3,8,0,,6,17.9,37,1015.8,
2024-02-27,3.8,-1,8,0.9,,202,9.7,33.3,1018.2,
2024-02-28,6.7,2,11,3,,179,10.9,38.9,1012,
2024-02-29,7.7,4,10,1,,226,11.6,37,1001.1,
2024-03-01,3.6,1,7,3.8,,137,10.4,35.2,989.3,
2024-03-02,3.3,1,6,2.8,,80,8.5,20.4,990.4,
2024-03-03,4.3,1,9,0,,182,6.3,18.5,1001.8,
2024-03-04,5.5,0,10,2.9,,132,10.6,42.6,1006,
2024-03-05,6.9,3,11,0.3,,177,6.1,35.2,1013,
2024-03-06,5.2,-1,11,0,,117,5.9,27.8,1021,
2024-03-07,5.8,3,8,0,,90,13,35.2,1021.7,
2024-03-08,5.8,4,7,0,,86,14.5,40.8,1010.1,
2024-03-09,7,5,11,0.9,,68,21.3,40.8,998.1,
2024-03-10,7.4,6,9,9.4,,64,17.2,31.5,998.1,
2024-03-11,6.8,6,8,0,,33,9,22.2,1008.2,
2024-03-12,9.8,6,13,5.3,,184,12.3,35.2,1007.2,
2024-03-13,12.1,11,13,2.9,,195,17.9,42.6,1006.1,
2024-03-14,11.8,11,13,4.8,,185,13.3,38.9,1001.1,
2024-03-15,9.8,7,12,3,,244,19,38.9,1002.2,
2024-03-16,6.7,0,10,2.1,,168,8.1,33.3,1017,
2024-03-17,11.6,9,15,7.9,,188,11.4,31.5,1011.1,
2024-03-18,10.5,6,15,0,,190,11.2,33.3,1011,
2024-03-19,11.6,10,14,1.4,,232,11.6,33.3,1011.8,
2024-03-20,9.9,8,12,7.7,,258,6.2,20.4,1017.9,
2024-03-21,9.2,7,11,0.2,,205,12.1,38.9,1021.4,
2024-03-22,8.6,5,11,3.7,,263,23.8,42.6,1015.7,
