Railway Station,In/Out M60,P&R Spaces
Altrincham,O,45
Appley Bridge,O,15
Ardwick,I,
Ashburys,I,
Ashton-under-Lyne,O,35
Atherton,O,70
Belle Vue,I,
Blackrod,O,72
Bolton,O,30
Bramhall,O,
Bredbury,O,100
Brinnington,I,
Broadbottom,O,100
Bromley Cross,O,71
Bryn,O,
Burnage,I,
Castleton,O,10
Chassen Road,O,
Cheadle Hulme,O,100
Clifton,I,
Daisy Hill,O,90
Davenport,O,
Denton,O,
Dinting,O,25
Disley,O,25
East Didsbury,I,15
Eccles,I,5
Failsworth,I,
Fairfield,I,
Farnworth,O,
Flixton,O,68
Flowery Field,O,
Gathurst,O,20
Gatley,O,50
Glazebrook,O,9
Glossop,O,10
Godley,O,
Gorton,I,
Greenfield,O,12
Guide Bridge (station),O,115
                    (yard),O,
Hadfield,O,
Hag Fold,O,
Hale,O,70
Hall i'th'Wood,O,
Hattersley,O,40
Hazel Grove,O,407
Heald Green,O,14
Heaton Chapel,I,
Hindley,O,50
Horwich Parkway,O,259
Humphrey Park,I,
Hyde Central,O,20
Hyde North,O,15
Ince,O,
Irlam,O,66
Kearsley,O,30
Levenshulme,I,40
Littleborough,O,36
Lostock,O,50
Marple (Station),O,253
           (Midlers),O,
           (Brabyns Brow),O,
Mauldeth Road,I,20
Middlewood,O,
Mills Hill,O,30
Milnrow,O,15
Moorside,I,30
Moses Gate,O,
Mossley,O,20
Moston,I,15
New Mills Newtown,O,50
Newton for Hyde,O,6
Orrell,O,30
Patricroft,O,
Pemberton,O,
Reddish North,O,20
Reddish South,O,
Rochdale,O,217
Romiley,O,
Rose Hill Marple,O,80
Ryder Brow,I,
Smithy Bridge,O,42
Stalybridge,O,12
Strines,O,30
Swinton,I,
Trafford Park,I,
Urmston,O,6
Walkden,O,
Westhoughton,O,58
Wigan Wallgate,O,6
Woodley,O,5
Woodsmoor,O,6
,,
,,
,,
Northern Rail Central Stations (5),,
Central ,I,
Crescent,I,
Deansgate,I,
Oxford Road,I,
Victoria,I,
,,
,,
Network Rail Major Station (1),,
Piccadilly,I,550
,,
,,
Virgin Trains Stations (2),,
Stockport,O,"1,000"
Wigan North Western,O,280
,,
,,
TransPennine Station (1),,
Stalybridge,O,20
Manchester Airport,O,
,,
,,
Metrolink (1),,
Navigation Road,,81
,,
,,
,,
Outside Greater Manchester but within TfGM ticketing area,,
